Problem Description,Python Code,Source,Description Error,Error Label,Problem Augmented,Description Augmented
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,determine a prime number utilizing break,"def find_prime_buggy():
    x = 2
    while True:
        valid = True
        y = 2
        while y < x:
            if 0 == x % y:
                valid = False
            y += 1
        break
        if valid is True:
            return x
        x += 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,determine a prime number utilizing break,"def find_prime_buggy():
    i = 2
    while True:
        isprime = 1 == 1
        j = 2
        while not (j >= i):
            if (i % j == 0) == True:
                isprime = 0 != 1
            j = j + 1
        break
        if isprime:
            return i
        i = i + 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,determine a prime number utilizing break,"def find_prime_buggy():
    prime_candidate = 2
    while True:
        found_prime = True
        check_divisor = 2
        while check_divisor < prime_candidate:
            if (prime_candidate % check_divisor) == 0:
                found_prime = not True
            check_divisor += 1
        break
        if found_prime == 1:
            return prime_candidate
        prime_candidate += 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,find a prime by implementing break,"def find_prime_buggy():
    candidate = 2
    while True:
        prime_flag = not False
        test_div = 2
        while test_div != candidate:
            if not (candidate % test_div):
                prime_flag = False
            test_div = test_div + 1
        break
        if prime_flag == True:
            return candidate
        candidate = candidate + 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,find a prime by implementing break,"def find_prime_buggy():
    n = 2
    while 1:
        flag = True
        d = 2
        while d < n:
            if n % d is 0:
                flag = False
            d += 1
        break
        if flag:
            return n
        n += 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,find a prime by implementing break,"def find_prime_buggy():
    x = 2
    while True:
        valid = True
        y = 2
        while y < x:
            if 0 == x % y:
                valid = False
            y += 1
        break
        if valid is True:
            return x
        x += 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,find a prime by implementing break,"def find_prime_buggy():
    i = 2
    while True:
        isprime = 1 == 1
        j = 2
        while not (j >= i):
            if (i % j == 0) == True:
                isprime = 0 != 1
            j = j + 1
        break
        if isprime:
            return i
        i = i + 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,find a prime by implementing break,"def find_prime_buggy():
    prime_candidate = 2
    while True:
        found_prime = True
        check_divisor = 2
        while check_divisor < prime_candidate:
            if (prime_candidate % check_divisor) == 0:
                found_prime = not True
            check_divisor += 1
        break
        if found_prime == 1:
            return prime_candidate
        prime_candidate += 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,discover a prime number using the break statement,"def find_prime_buggy():
    candidate = 2
    while True:
        prime_flag = not False
        test_div = 2
        while test_div != candidate:
            if not (candidate % test_div):
                prime_flag = False
            test_div = test_div + 1
        break
        if prime_flag == True:
            return candidate
        candidate = candidate + 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,discover a prime number using the break statement,"def find_prime_buggy():
    n = 2
    while 1:
        flag = True
        d = 2
        while d < n:
            if n % d is 0:
                flag = False
            d += 1
        break
        if flag:
            return n
        n += 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,discover a prime number using the break statement,"def find_prime_buggy():
    x = 2
    while True:
        valid = True
        y = 2
        while y < x:
            if 0 == x % y:
                valid = False
            y += 1
        break
        if valid is True:
            return x
        x += 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,discover a prime number using the break statement,"def find_prime_buggy():
    i = 2
    while True:
        isprime = 1 == 1
        j = 2
        while not (j >= i):
            if (i % j == 0) == True:
                isprime = 0 != 1
            j = j + 1
        break
        if isprime:
            return i
        i = i + 1"
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2,discover a prime number using the break statement,"def find_prime_buggy():
    prime_candidate = 2
    while True:
        found_prime = True
        check_divisor = 2
        while check_divisor < prime_candidate:
            if (prime_candidate % check_divisor) == 0:
                found_prime = not True
            check_divisor += 1
        break
        if found_prime == 1:
            return prime_candidate
        prime_candidate += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,Display the cubes of numbers from 1 to n,"def print_cubes_buggy(n):
    i = 1
    while not (i > n):
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,Display the cubes of numbers from 1 to n,"def print_cubes_buggy(n):
    i = 1
    while i - n <= 0:
        print(i ** 3)
        i = i + 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,Display the cubes of numbers from 1 to n,"def print_cubes_buggy(n):
    i = 1
    while (n - i) >= 0:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,Display the cubes of numbers from 1 to n,"def print_cubes_buggy(n):
    i = 1
    while i != n + 1:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,Display the cubes of numbers from 1 to n,"def print_cubes_buggy(n):
    i = 1
    while (i <= n) is True:
        print(pow(i, 3))
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,output the cube of each number from 1 up to n,"def print_cubes_buggy(n):
    i = 1
    while not (i > n):
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,output the cube of each number from 1 up to n,"def print_cubes_buggy(n):
    i = 1
    while i - n <= 0:
        print(i ** 3)
        i = i + 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,output the cube of each number from 1 up to n,"def print_cubes_buggy(n):
    i = 1
    while (n - i) >= 0:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,output the cube of each number from 1 up to n,"def print_cubes_buggy(n):
    i = 1
    while i != n + 1:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,output the cube of each number from 1 up to n,"def print_cubes_buggy(n):
    i = 1
    while (i <= n) is True:
        print(pow(i, 3))
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,generate and print cubes for numbers in the range 1 to n,"def print_cubes_buggy(n):
    i = 1
    while not (i > n):
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,generate and print cubes for numbers in the range 1 to n,"def print_cubes_buggy(n):
    i = 1
    while i - n <= 0:
        print(i ** 3)
        i = i + 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,generate and print cubes for numbers in the range 1 to n,"def print_cubes_buggy(n):
    i = 1
    while (n - i) >= 0:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,generate and print cubes for numbers in the range 1 to n,"def print_cubes_buggy(n):
    i = 1
    while i != n + 1:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,generate and print cubes for numbers in the range 1 to n,"def print_cubes_buggy(n):
    i = 1
    while (i <= n) is True:
        print(pow(i, 3))
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,show cubes for every integer starting at 1 and ending at n,"def print_cubes_buggy(n):
    i = 1
    while not (i > n):
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,show cubes for every integer starting at 1 and ending at n,"def print_cubes_buggy(n):
    i = 1
    while i - n <= 0:
        print(i ** 3)
        i = i + 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,show cubes for every integer starting at 1 and ending at n,"def print_cubes_buggy(n):
    i = 1
    while (n - i) >= 0:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,show cubes for every integer starting at 1 and ending at n,"def print_cubes_buggy(n):
    i = 1
    while i != n + 1:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,show cubes for every integer starting at 1 and ending at n,"def print_cubes_buggy(n):
    i = 1
    while (i <= n) is True:
        print(pow(i, 3))
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,print out the cube values for numbers between 1 and n,"def print_cubes_buggy(n):
    i = 1
    while not (i > n):
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,print out the cube values for numbers between 1 and n,"def print_cubes_buggy(n):
    i = 1
    while i - n <= 0:
        print(i ** 3)
        i = i + 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,print out the cube values for numbers between 1 and n,"def print_cubes_buggy(n):
    i = 1
    while (n - i) >= 0:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,print out the cube values for numbers between 1 and n,"def print_cubes_buggy(n):
    i = 1
    while i != n + 1:
        print(i ** 3)
        i += 1"
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0,print out the cube values for numbers between 1 and n,"def print_cubes_buggy(n):
    i = 1
    while (i <= n) is True:
        print(pow(i, 3))
        i += 1"
Prompt for password until correct,def prompt_password_buggy():\n    password = input('Enter password: ')\n    while password != 'secret':\n        print('Incorrect')\n    print('Access granted'),Typical validation loop error from Python beginner tutorials,password requested only once,2,Request password repeatedly until correct,"def prompt_password_buggy():
    password = input('Enter password: ')
    while not (password == 'secret'):
        print('Incorrect')
    print('Access granted')"
Prompt for password until correct,def prompt_password_buggy():\n    password = input('Enter password: ')\n    while password != 'secret':\n        print('Incorrect')\n    print('Access granted'),Typical validation loop error from Python beginner tutorials,password requested only once,2,keep asking for password until the right one is entered,"def prompt_password_buggy():
    password = input('Enter password: ')
    while not (password == 'secret'):
        print('Incorrect')
    print('Access granted')"
Prompt for password until correct,def prompt_password_buggy():\n    password = input('Enter password: ')\n    while password != 'secret':\n        print('Incorrect')\n    print('Access granted'),Typical validation loop error from Python beginner tutorials,password requested only once,2,continue prompting for password until correct input is given,"def prompt_password_buggy():
    password = input('Enter password: ')
    while not (password == 'secret'):
        print('Incorrect')
    print('Access granted')"
Prompt for password until correct,def prompt_password_buggy():\n    password = input('Enter password: ')\n    while password != 'secret':\n        print('Incorrect')\n    print('Access granted'),Typical validation loop error from Python beginner tutorials,password requested only once,2,repeat password prompt until correct password is provided,"def prompt_password_buggy():
    password = input('Enter password: ')
    while not (password == 'secret'):
        print('Incorrect')
    print('Access granted')"
Prompt for password until correct,def prompt_password_buggy():\n    password = input('Enter password: ')\n    while password != 'secret':\n        print('Incorrect')\n    print('Access granted'),Typical validation loop error from Python beginner tutorials,password requested only once,2,ask for password until it is entered correctly,"def prompt_password_buggy():
    password = input('Enter password: ')
    while not (password == 'secret'):
        print('Incorrect')
    print('Access granted')"
"Print numbers from 1 to n, but condition excludes n",def print_numbers_buggy(n):\n    i = 1\n    while i < n:\n        print(i)\n        i += 1,Common inclusive/exclusive error in loops (Codeforces),condition excludes n,1,Print numbers starting from 1 up to but not including n,"def print_numbers_buggy(n):
    i = 1
    while not (i >= n):
        print(i)
        i = i + 1"
"Print numbers from 1 to n, but condition excludes n",def print_numbers_buggy(n):\n    i = 1\n    while i < n:\n        print(i)\n        i += 1,Common inclusive/exclusive error in loops (Codeforces),condition excludes n,1,Display integers from 1 to n minus one,"def print_numbers_buggy(n):
    i = 1
    while not (i >= n):
        print(i)
        i = i + 1"
"Print numbers from 1 to n, but condition excludes n",def print_numbers_buggy(n):\n    i = 1\n    while i < n:\n        print(i)\n        i += 1,Common inclusive/exclusive error in loops (Codeforces),condition excludes n,1,Output the sequence of numbers from 1 through n exclusive,"def print_numbers_buggy(n):
    i = 1
    while not (i >= n):
        print(i)
        i = i + 1"
"Print numbers from 1 to n, but condition excludes n",def print_numbers_buggy(n):\n    i = 1\n    while i < n:\n        print(i)\n        i += 1,Common inclusive/exclusive error in loops (Codeforces),condition excludes n,1,Show all numbers beginning at 1 and ending before n,"def print_numbers_buggy(n):
    i = 1
    while not (i >= n):
        print(i)
        i = i + 1"
"Print numbers from 1 to n, but condition excludes n",def print_numbers_buggy(n):\n    i = 1\n    while i < n:\n        print(i)\n        i += 1,Common inclusive/exclusive error in loops (Codeforces),condition excludes n,1,List numbers in order from 1 up to (but not reaching) n,"def print_numbers_buggy(n):
    i = 1
    while not (i >= n):
        print(i)
        i = i + 1"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,Halve a number repeatedly until its value drops below one,"def divide_repeatedly_buggy(n):
    while n >= 1:
        print(n)
        n = int(n / 2)"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,Halve a number repeatedly until its value drops below one,"def divide_repeatedly_buggy(x):
    while x > 0:
        print(x)
        x //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,Halve a number repeatedly until its value drops below one,"def divide_repeatedly_buggy(value):
    while not value < 1:
        print(value)
        value = value // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,Halve a number repeatedly until its value drops below one,"def divide_repeatedly_buggy(num):
    while num != 0 and num >= 1:
        print(num)
        num //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,Halve a number repeatedly until its value drops below one,"def divide_repeatedly_buggy(m):
    while m:
        print(m)
        m = m // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,keep dividing the number by 2 until it becomes less than one,"def divide_repeatedly_buggy(n):
    while n >= 1:
        print(n)
        n = int(n / 2)"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,keep dividing the number by 2 until it becomes less than one,"def divide_repeatedly_buggy(x):
    while x > 0:
        print(x)
        x //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,keep dividing the number by 2 until it becomes less than one,"def divide_repeatedly_buggy(value):
    while not value < 1:
        print(value)
        value = value // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,keep dividing the number by 2 until it becomes less than one,"def divide_repeatedly_buggy(num):
    while num != 0 and num >= 1:
        print(num)
        num //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,keep dividing the number by 2 until it becomes less than one,"def divide_repeatedly_buggy(m):
    while m:
        print(m)
        m = m // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,continually split the number in half until it’s smaller than one,"def divide_repeatedly_buggy(n):
    while n >= 1:
        print(n)
        n = int(n / 2)"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,continually split the number in half until it’s smaller than one,"def divide_repeatedly_buggy(x):
    while x > 0:
        print(x)
        x //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,continually split the number in half until it’s smaller than one,"def divide_repeatedly_buggy(value):
    while not value < 1:
        print(value)
        value = value // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,continually split the number in half until it’s smaller than one,"def divide_repeatedly_buggy(num):
    while num != 0 and num >= 1:
        print(num)
        num //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,continually split the number in half until it’s smaller than one,"def divide_repeatedly_buggy(m):
    while m:
        print(m)
        m = m // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,repeatedly perform division by two until reaching a result under one,"def divide_repeatedly_buggy(n):
    while n >= 1:
        print(n)
        n = int(n / 2)"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,repeatedly perform division by two until reaching a result under one,"def divide_repeatedly_buggy(x):
    while x > 0:
        print(x)
        x //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,repeatedly perform division by two until reaching a result under one,"def divide_repeatedly_buggy(value):
    while not value < 1:
        print(value)
        value = value // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,repeatedly perform division by two until reaching a result under one,"def divide_repeatedly_buggy(num):
    while num != 0 and num >= 1:
        print(num)
        num //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,repeatedly perform division by two until reaching a result under one,"def divide_repeatedly_buggy(m):
    while m:
        print(m)
        m = m // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,successively divide the number by two until the outcome is less than one,"def divide_repeatedly_buggy(n):
    while n >= 1:
        print(n)
        n = int(n / 2)"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,successively divide the number by two until the outcome is less than one,"def divide_repeatedly_buggy(x):
    while x > 0:
        print(x)
        x //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,successively divide the number by two until the outcome is less than one,"def divide_repeatedly_buggy(value):
    while not value < 1:
        print(value)
        value = value // 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,successively divide the number by two until the outcome is less than one,"def divide_repeatedly_buggy(num):
    while num != 0 and num >= 1:
        print(num)
        num //= 2"
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2,successively divide the number by two until the outcome is less than one,"def divide_repeatedly_buggy(m):
    while m:
        print(m)
        m = m // 2"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,Calculate the total of all digits in n,"def sum_digits_buggy(n):
    total = 0
    while n > 0:
        total = total + (n % 10)
    return total"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,Calculate the total of all digits in n,"def sum_digits_buggy(n):
    while n > 0:
        total = 0
        total += n % 10
    return total"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,Calculate the total of all digits in n,"def sum_digits_buggy(n):
    total = 0
    while n:
        total += n & 9 + (n & 1)
    return total"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,Calculate the total of all digits in n,"def sum_digits_buggy(n):
    total = 0
    while n > 0:
        total += abs(n % 10)
    return total"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,Calculate the total of all digits in n,"def sum_digits_buggy(n):
    total = 0
    while n > 0:
        total += n - (n // 10) * 10
    return total"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,add together every digit in n,"def sum_digits_buggy(n):
    total = 0
    while n > 0:
        total = total + (n % 10)
    return total"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,add together every digit in n,"def sum_digits_buggy(n):
    while n > 0:
        total = 0
        total += n % 10
    return total"
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2,add together every digit in n,"def sum_digits_buggy(n):
    total = 0
    while n:
        total += n & 9 + (n & 1)
    return total"
